x;uh
59.6903;0.00795891
59.7948;0.0317401
59.8994;0.0705762
60.004;0.123216
60.1085;0.187964
60.2131;0.262736
60.3177;0.345126
60.4223;0.432483
60.5268;0.521995
60.6314;0.610782
60.736;0.695987
60.8405;0.774868
60.9451;0.844885
61.0497;0.903784
61.1543;0.949667
61.2588;0.981055
61.3634;0.996934
61.468;0.996788
61.5725;0.980617
61.6771;0.948932
61.7817;0.902747
61.8863;0.843539
61.9908;0.773201
62.0954;0.693987
62.2;0.608433
62.3045;0.519278
62.4091;0.429378
62.5137;0.341609
62.6183;0.258779
62.7228;0.183536
62.8274;0.118283
62.932;0.0651001
63.0365;0.0256782
63.1411;0.00126395
63.2457;-0.00738001
